Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
793,Estimates,Less developed regions,e,902,,,515.0,Development Group,1803,2020.0,6528990.621,6564794.908,3321917.127,3242877.78,80.703,102.437,27.878,74159.563,11.296,71608.574,1.091,63.533,122964.333,12405.451,18.73,2.472,1.125,28.106,106,48804.77,26941.147,21863.623,7.434,70.642,68.221,73.218,59.249,56.873,61.766,15.837,14.378,17.231,7.3,6.435,7.973,3784.46,30.697,119840.586,5090.029,40.933,89.841,99.257,79.831,197.355,229.215,163.851,78.341,93.657,62.189,154.95,186.496,121.948,-2551.091,-0.389
865,Estimates,Least developed countries,f,941,,,199.0,Development Group,902,2020.0,1060700.631,1073743.45,533972.25,539771.201,53.407,98.926,19.074,25988.89,24.202,26085.638,2.43,28.525,33955.125,5350.718,31.62,4.016,1.783,28.639,103.8,7966.235,4334.206,3632.029,7.418,64.495,62.251,66.806,54.584,52.545,56.657,13.283,12.329,14.177,5.791,5.212,6.277,1441.351,42.55,32768.057,2031.878,60.749,138.771,155.234,122.028,282.477,321.048,243.635,121.726,143.6,99.983,223.494,260.788,186.505,96.67,0.09
937,Estimates,"Less developed regions, excluding least developed countries",g,934,,,,Development Group,902,2020.0,5468289.99,5491051.458,2787944.878,2703106.58,89.664,103.139,29.722,48170.673,8.772,45522.936,0.829,83.612,89009.208,7054.733,16.209,2.158,0.989,28.167,106.8,40838.535,22606.941,18231.594,7.437,71.912,69.499,74.485,59.903,57.49,62.469,16.093,14.582,17.541,7.417,6.534,8.1,2343.109,26.207,87070.308,3058.151,33.732,76.29,84.163,67.843,180.094,210.864,147.595,70.89,85.321,55.534,144.864,175.767,112.325,-2647.761,-0.482
1009,Estimates,"Less developed regions, excluding China",,948,,,,Development Group,1803,2020.0,5073019.78,5107866.422,2578330.549,2529535.873,71.231,101.929,25.152,72245.457,14.14,69693.284,1.364,50.817,110475.724,11973.562,21.623,2.749,1.246,28.225,105.3,38230.267,20878.132,17352.135,7.483,68.577,66.306,70.981,57.469,55.261,59.793,14.857,13.59,16.049,6.939,6.181,7.52,3707.237,33.56,107410.267,4991.138,45.179,100.803,111.49,89.546,227.138,260.786,191.827,91.083,108.077,73.257,181.695,215.069,146.868,-2552.276,-0.5
1081,Estimates,Land-locked Developing Countries (LLDC),h,1636,,,432.0,Special other,1803,2020.0,531262.724,537864.814,267051.492,270813.322,32.586,98.611,18.985,12926.044,24.035,13204.18,2.455,28.234,17019.576,2407.004,31.646,4.024,1.793,28.559,104.4,4093.532,2227.04,1866.492,7.611,64.061,61.39,66.793,53.584,51.058,56.133,12.787,11.597,13.822,5.6,4.954,6.046,640.241,37.712,16486.37,911.101,54.379,135.588,153.594,117.278,293.278,342.314,244.03,131.687,158.148,105.302,241.212,290.018,192.871,278.095,0.517
1153,Estimates,Small Island Developing States (SIDS),i,1637,,,722.0,Special other,1803,2020.0,72861.148,73173.242,36886.755,36286.486,61.373,101.654,29.166,723.023,9.875,624.188,0.853,81.26,1276.904,146.824,17.44,2.305,1.066,28.334,105.2,553.881,313.746,240.135,7.565,72.2,69.292,75.369,60.329,57.573,63.321,16.896,15.261,18.507,8.266,7.343,9.024,37.075,28.962,1245.688,47.241,36.797,81.431,94.792,67.208,186.103,223.508,146.258,76.921,95.424,57.308,149.872,185.652,112.011,-98.658,-1.348
1226,Estimates,High-income countries,j,1503,,,910.0,Income Group,1802,2020.0,1243653.505,1244106.77,619171.069,624935.701,35.427,99.078,40.399,118.665,0.095,906.53,0.073,...,12214.173,377.215,9.821,1.554,0.749,30.452,105.2,12095.508,6276.794,5818.714,9.726,80.374,77.637,83.167,65.846,63.134,68.61,19.86,18.03,21.533,9.416,8.359,10.191,51.753,4.224,12169.767,61.721,4.994,24.192,30.957,16.902,88.818,113.307,62.922,37.733,49.206,25.421,83.314,107.463,57.804,788.024,0.634
1298,Estimates,Middle-income countries,j,1517,,,,Income Group,1802,2020.0,5842512.427,5868524.694,2961142.711,2907381.983,73.91,101.849,29.406,52568.42,8.958,52024.533,0.887,78.145,97970.158,8632.132,16.696,2.21,1.012,28.023,106.6,45401.738,24967.319,20434.419,7.738,71.302,68.786,73.955,59.374,56.865,62.007,15.766,14.219,17.216,7.252,6.368,7.908,2665.722,27.1,95758.729,3488.004,35.012,78.955,87.491,69.909,187.812,221.288,152.883,74.257,90.09,57.67,151.679,185.259,116.783,-543.952,-0.093
1370,Estimates,Upper-middle-income countries,j,1502,,,914.0,Income Group,1517,2020.0,2507920.871,2512477.147,1260146.413,1252330.734,46.734,100.624,34.717,8436.147,3.36,9112.552,0.363,...,28262.938,2148.07,11.255,1.594,0.75,28.159,108.1,19826.791,11110.17,8716.621,7.895,75.745,72.616,79.029,61.813,58.729,65.038,16.982,15.091,18.73,7.69,6.643,8.447,279.134,9.751,28022.146,343.427,11.674,41.578,51.682,30.698,129.486,167.148,90.285,55.718,73.549,36.928,116.81,153.928,78.335,676.452,0.269
1442,Estimates,Lower-middle-income countries,j,1501,,,912.0,Income Group,1517,2020.0,3334591.556,3356047.547,1700996.298,1655051.249,130.888,102.776,25.387,44132.273,13.149,42911.981,1.279,54.194,69707.22,6484.062,20.768,2.615,1.181,28.15,106,25574.947,13857.149,11717.798,7.619,68.143,66.191,70.212,56.978,55.052,59.012,14.272,13.157,15.333,6.586,5.958,7.068,2386.588,34.222,67731.671,3144.577,44.991,97.58,105.285,89.486,229.521,259.729,197.789,88.831,103.33,73.654,184.627,215.011,152.834,-1220.404,-0.364
